FIPS,subregion,region,Year,Days.with.AQI,Good.Days,Moderate.Days,Unhealthy.for.Sensitive.Groups.Days,Unhealthy.Days,Very.Unhealthy.Days,Hazardous.Days,Max.AQI,X90th.Percentile.AQI,Median.AQI,Days.CO,Days.NO2,Days.Ozone,Days.PM2.5,Days.PM10,STATE_FIPS,CNTY_FIPS,State,Value..Dollars.,Rank.within.US,County,Deaths,Population,Crude.Rate,rate_100k
10001,Kent,Delaware,2020,362,332,30,0,0,0,0,80,48,36,0,0,290,72,0,10,001,"Kent County, Delaware",60910,706 of 3146,"Kent County, DE",197,184149,107.0,106.98
10003,New Castle,Delaware,2020,366,300,64,2,0,0,0,105,58,40,0,9,218,139,0,10,003,"New Castle County, Delaware",73892,248 of 3146,"New Castle County, DE",392,571708,68.6,68.57
10005,Sussex,Delaware,2020,366,329,37,0,0,0,0,87,51,38,0,0,277,89,0,10,005,"Sussex County, Delaware",63162,579 of 3146,"Sussex County, DE",258,247527,104.2,104.23
1003,Baldwin,Alabama,2020,269,250,19,0,0,0,0,74,49,36,0,0,198,71,0,01,003,"Baldwin County, Alabama",58320,894 of 3146,"Baldwin County, AL",245,239294,102.4,102.38
1027,Clay,Alabama,2020,108,99,9,0,0,0,0,86,49,26,0,0,0,108,0,01,027,"Clay County, Alabama",40845,2656 of 3146,"Clay County, AL",23,14190,162.1,162.09
1049,DeKalb,Alabama,2020,364,350,14,0,0,0,0,90,45,36,0,0,331,33,0,01,049,"DeKalb County, Alabama",40440,2679 of 3146,"DeKalb County, AL",119,71813,165.7,165.71
1051,Elmore,Alabama,2020,197,197,0,0,0,0,0,47,41,31,0,0,197,0,0,01,051,"Elmore County, Alabama",60891,710 of 3146,"Elmore County, AL",107,89304,119.8,119.82
1055,Etowah,Alabama,2020,278,260,18,0,0,0,0,92,46,34,0,0,204,74,0,01,055,"Etowah County, Alabama",44637,2317 of 3146,"Etowah County, AL",183,103162,177.4,177.39
1073,Jefferson,Alabama,2020,366,212,151,3,0,0,0,129,67,48,0,2,123,241,0,01,073,"Jefferson County, Alabama",53901,1305 of 3146,"Jefferson County, AL",657,667820,98.4,98.38
1079,Lawrence,Alabama,2020,90,87,3,0,0,0,0,75,36,18,0,0,0,90,0,01,079,"Lawrence County, Alabama",44886,2292 of 3146,"Lawrence County, AL",62,33090,187.4,187.37
1089,Madison,Alabama,2020,364,307,57,0,0,0,0,88,54,40,0,0,132,227,5,01,089,"Madison County, Alabama",65449,450 of 3146,"Madison County, AL",284,395211,71.9,71.86
